Departure,Average,Ratio,Class
5:00AM,65,0.9848484848484849,1
5:15AM,65,0.9848484848484849,1
5:30AM,65,0.9848484848484849,1
5:45AM,66,1.0,1
6:00AM,64,0.9696969696969697,1
6:15AM,59,0.8939393939393939,1
6:30AM,53,0.803030303030303,1
6:45AM,49,0.7424242424242424,1.33
7:00AM,50,0.7575757575757576,1
7:15AM,49,0.7424242424242424,1.33
7:30AM,49,0.7424242424242424,1.33
7:45AM,55,0.8333333333333334,1
8:00AM,59,0.8939393939393939,1
8:15AM,59,0.8939393939393939,1
8:30AM,59,0.8939393939393939,1
8:45AM,58,0.8787878787878788,1
9:00AM,61,0.9242424242424242,1
9:15AM,60,0.9090909090909091,1
9:30AM,60,0.9090909090909091,1
9:45AM,60,0.9090909090909091,1
10:00AM,59,0.8939393939393939,1
10:15AM,60,0.9090909090909091,1
10:30AM,61,0.9242424242424242,1
10:45AM,59,0.8939393939393939,1
11:00AM,58,0.8787878787878788,1
11:15AM,60,0.9090909090909091,1
11:30AM,56,0.8484848484848485,1
11:45AM,60,0.9090909090909091,1
12:00PM,56,0.8484848484848485,1
12:15PM,56,0.8484848484848485,1
12:30PM,58,0.8787878787878788,1
12:45PM,59,0.8939393939393939,1
1:00PM,57,0.8636363636363636,1
1:15PM,57,0.8636363636363636,1
1:30PM,57,0.8636363636363636,1
1:45PM,59,0.8939393939393939,1
2:00PM,59,0.8939393939393939,1
2:15PM,56,0.8484848484848485,1
2:30PM,60,0.9090909090909091,1
2:45PM,60,0.9090909090909091,1
3:00PM,60,0.9090909090909091,1
3:15PM,59,0.8939393939393939,1
3:30PM,60,0.9090909090909091,1
3:45PM,60,0.9090909090909091,1
4:00PM,59,0.8939393939393939,1
4:15PM,56,0.8484848484848485,1
4:30PM,58,0.8787878787878788,1
4:45PM,57,0.8636363636363636,1
5:00PM,59,0.8939393939393939,1
5:15PM,58,0.8787878787878788,1
5:30PM,58,0.8787878787878788,1
5:45PM,57,0.8636363636363636,1
6:00PM,59,0.8939393939393939,1
6:15PM,58,0.8787878787878788,1
6:30PM,58,0.8787878787878788,1
6:45PM,60,0.9090909090909091,1
