Departure,Average,Ratio,Class
5:00AM,61,0.9384615384615385,1
5:15AM,63,0.9692307692307692,1
5:30AM,63,0.9692307692307692,1
5:45AM,65,1.0,1
6:00AM,64,0.9846153846153847,1
6:15AM,65,1.0,1
6:30AM,65,1.0,1
6:45AM,64,0.9846153846153847,1
7:00AM,63,0.9692307692307692,1
7:15AM,57,0.8769230769230769,1
7:30AM,50,0.7692307692307693,1
7:45AM,48,0.7384615384615385,1.33
8:00AM,51,0.7846153846153846,1
8:15AM,51,0.7846153846153846,1
8:30AM,54,0.8307692307692308,1
8:45AM,56,0.8615384615384616,1
9:00AM,61,0.9384615384615385,1
9:15AM,61,0.9384615384615385,1
9:30AM,63,0.9692307692307692,1
9:45AM,63,0.9692307692307692,1
10:00AM,63,0.9692307692307692,1
10:15AM,63,0.9692307692307692,1
10:30AM,63,0.9692307692307692,1
10:45AM,62,0.9538461538461539,1
11:00AM,62,0.9538461538461539,1
11:15AM,62,0.9538461538461539,1
11:30AM,62,0.9538461538461539,1
11:45AM,60,0.9230769230769231,1
12:00PM,62,0.9538461538461539,1
12:15PM,61,0.9384615384615385,1
12:30PM,60,0.9230769230769231,1
12:45PM,60,0.9230769230769231,1
1:00PM,61,0.9384615384615385,1
1:15PM,61,0.9384615384615385,1
1:30PM,59,0.9076923076923077,1
1:45PM,59,0.9076923076923077,1
2:00PM,59,0.9076923076923077,1
2:15PM,59,0.9076923076923077,1
2:30PM,54,0.8307692307692308,1
2:45PM,56,0.8615384615384616,1
3:00PM,54,0.8307692307692308,1
3:15PM,48,0.7384615384615385,1.33
3:30PM,46,0.7076923076923077,1.33
3:45PM,45,0.6923076923076923,1.33
4:00PM,43,0.6615384615384615,1.33
4:15PM,39,0.6,1.33
4:30PM,36,0.5538461538461539,1.33
4:45PM,34,0.5230769230769231,1.33
5:00PM,34,0.5230769230769231,1.33
5:15PM,31,0.47692307692307695,2
5:30PM,30,0.46153846153846156,2
5:45PM,32,0.49230769230769234,2
6:00PM,34,0.5230769230769231,1.33
6:15PM,36,0.5538461538461539,1.33
6:30PM,40,0.6153846153846154,1.33
6:45PM,45,0.6923076923076923,1.33
